(0,0)
(1,0)
(1,1)
(1,2)
(1,3)
(1,4)
(1,5)
(1,6)
(0,6)
(0,7)
(0,8)
(0,9)
(0,10)
(0,11)
(0,12)
(0,13)
(1,13)
(1,14)
(1,15)
(1,16)
(2,16)
(3,16)
(3,17)
(3,18)
(3,19)
(3,20)
(3,21)
(3,20)
(3,19)
(3,18)
(4,18)
(5,18)
(5,19)
(6,19)
(7,19)
(7,20)
(7,19)
(8,19)
(8,18)
(9,18)
(10,18)
(10,19)
(10,20)
(10,21)
(10,22)
(10,23)
(10,24)
(10,25)
(11,25)
(11,26)
(12,26)
(12,27)
(12,28)
(13,28)
(13,29)
(13,30)
(13,31)
(13,32)
(13,33)
(12,33)
(12,34)
(12,35)
(12,36)
(12,37)
(12,38)
(12,39)
(12,40)
(13,40)
(13,41)
(13,40)
(13,39)
(13,38)
(14,38)
(14,37)
(15,37)
(16,37)
(17,37)
(18,37)
(19,37)
(20,37)
(20,38)
(20,39)
(20,40)
(20,41)
(20,42)
(20,43)
(20,44)
(21,44)
(21,45)
(22,45)
(22,46)
(22,47)
(22,48)
(23,48)
(23,49)
(24,49)
(24,50)
(24,51)
(24,52)
(25,52)
(25,53)
(25,54)
(25,55)
(24,55)
(24,54)
(25,54)
(25,53)
(26,53)
(27,53)
(27,52)
(26,52)
(26,51)
(26,50)
(26,49)
(26,48)
(25,48)
(26,48)
(26,49)
(26,50)
(26,51)
(26,52)
(26,53)
(25,53)
(25,54)
(24,54)
(25,54)
(25,53)
(25,52)
(24,52)
(23,52)
(22,52)
(22,53)
(22,54)
(22,55)
(22,56)
(23,56)
(23,57)
(23,56)
(22,56)
(22,55)
(22,54)
(22,53)
(21,53)
(20,53)
(20,54)
(20,55)
(20,56)
(19,56)
(18,56)
(17,56)
(17,57)
(17,58)
(18,58)
(18,59)
(18,60)
(18,61)
(18,62)
(18,63)
(18,64)
(18,65)
(18,66)
(18,67)
(18,68)
(17,68)
(16,68)
(16,69)
(15,69)
(15,70)
(15,71)
(15,72)
(15,73)
(15,74)
(15,75)
(15,76)
(15,77)
(15,78)
(15,79)
(14,79)
(14,80)
(14,81)
(14,82)
(14,83)
(14,84)
(14,85)
(14,86)
(15,86)
(16,86)
(17,86)
(17,87)
(17,88)
(17,89)
(18,89)
(18,90)
(18,91)
(18,92)
(19,92)
(19,93)
(19,94)
(19,95)
(19,96)
(19,97)
(19,98)
(19,99)
(19,100)
(19,99)
(20,99)
(21,99)
(20,99)
(20,98)
(20,97)
(21,97)
(21,96)
(22,96)
(23,96)
(24,96)
(24,97)
(25,97)
(25,98)
(25,99)
(25,100)
(26,100)
(27,100)
(28,100)
(29,100)
(30,100)
(29,100)
(28,100)
(28,99)
(28,98)
(29,98)
(30,98)
(31,98)
(31,99)
(32,99)
(32,100)
(33,100)
(34,100)
(35,100)
(35,99)
(36,99)
(35,99)
(35,98)
(35,97)
(35,96)
(36,96)
(37,96)
(37,97)
(38,97)
(38,96)
(39,96)
(40,96)
(41,96)
(41,97)
(42,97)
(42,98)
(42,97)
(43,97)
(44,97)
(44,98)
(44,99)
(44,100)
(45,100)
(44,100)
(44,99)
(44,98)
(45,98)
(45,97)
(46,97)
(47,97)
(47,98)
(47,99)
(47,100)
(48,100)
(49,100)
(49,99)
(50,99)
(51,99)
(51,100)
(51,99)
(52,99)
(52,98)
(53,98)
(53,97)
(54,97)
(55,97)
(55,98)
(55,97)
(56,97)
(56,96)
(57,96)
(58,96)
(58,97)
(58,98)
(58,99)
(58,100)
(58,99)
(59,99)
(60,99)
(60,100)
(61,100)
(62,100)
(63,100)
(64,100)
(65,100)
(66,100)
(67,100)
(68,100)
(69,100)
(70,100)
(71,100)
(72,100)
(73,100)
(74,100)
(75,100)
(76,100)
(77,100)
(78,100)
(79,100)
(80,100)
(79,100)
(79,99)
(79,98)
(80,98)
(79,98)
(79,99)
(78,99)
(77,99)
(77,98)
(77,97)
(78,97)
(78,96)
(78,97)
(77,97)
(76,97)
(76,96)
(76,95)
(77,95)
(77,94)
(77,93)
(78,93)
(78,92)
(79,92)
(80,92)
(80,93)
(80,94)
(80,95)
(80,94)
(81,94)
(80,94)
(80,93)
(80,92)
(81,92)
(82,92)
(82,93)
(83,93)
(84,93)
(84,94)
(84,95)
(84,96)
(85,96)
(85,97)
(85,96)
(86,96)
(86,95)
(87,95)
(88,95)
(88,96)
(88,97)
(88,98)
(88,97)
(89,97)
(90,97)
(90,98)
(90,99)
(90,100)
(91,100)
(92,100)
(93,100)
(94,100)
(95,100)
(94,100)
(93,100)
(93,99)
(93,98)
(94,98)
(93,98)
(93,97)
(93,96)
(94,96)
(95,96)
(96,96)
(96,97)
(96,98)
(96,99)
(97,99)
(97,100)
(98,100)
(99,100)
(100,100)
